First Team,First Week,Second Team,Second Week,Score
Hayfield Farm,Week5,Long Branch,Week3,275.0 Hayfield Farm - 145.0 Long Branch
Hiddenbrook,Week4,Cottontail,Week2,281.0 Hiddenbrook - 139.0 Cottontail
Hiddenbrook,Week2,Cottontail,Week4,240.0 Hiddenbrook - 180.0 Cottontail
Hayfield Farm,Week5,Long Branch,Week5,239.0 Hayfield Farm - 181.0 Long Branch
Herndon,Week4,Mansion House,Week2,283.0 Mansion House - 137.0 Herndon
Herndon,Week3,Parklawn,Week4,320.0 Parklawn - 86.0 Herndon
Hayfield Farm,Week2,Orange Hunt,Week5,320.0 Orange Hunt - 100.0 Hayfield Farm
Herndon,Week1,Virginia Run,Week5,316.0 Virginia Run - 75.0 Herndon
Herndon,Week2,Parklawn,Week5,374.0 Parklawn - 46.0 Herndon
Hayfield Farm,Week4,Ravensworth Farm,Week5,279.5 Ravensworth Farm - 140.5 Hayfield Farm
Herndon,Week2,Mansion House,Week5,347.0 Mansion House - 73.0 Herndon
Herndon,Week3,Parklawn,Week2,335.0 Parklawn - 71.0 Herndon
Herndon,Week1,Mansion House,Week5,322.0 Mansion House - 70.0 Herndon
Hayfield Farm,Week1,Riverside Gardens,Week5,228.0 Riverside Gardens - 192.0 Hayfield Farm
Hayfield Farm,Week3,Orange Hunt,Week1,281.0 Orange Hunt - 139.0 Hayfield Farm
Hayfield Farm,Week5,Long Branch,Week4,257.0 Hayfield Farm - 163.0 Long Branch
Herndon,Week4,Virginia Run,Week2,297.0 Virginia Run - 121.0 Herndon
Herndon,Week4,Long Branch,Week5,264.0 Long Branch - 156.0 Herndon
Hayfield Farm,Week1,Orange Hunt,Week4,286.0 Orange Hunt - 134.0 Hayfield Farm
Herndon,Week4,Long Branch,Week2,240.0 Long Branch - 180.0 Herndon
Herndon,Week5,Overlee,Week5,384.0 Overlee - 36.0 Herndon
Hayfield Farm,Week2,Ilda Community,Week1,306.0 Hayfield Farm - 97.0 Ilda Community
Herndon,Week5,Virginia Hills,Week2,311.0 Virginia Hills - 109.0 Herndon
Herndon,Week3,Virginia Hills,Week4,337.0 Virginia Hills - 69.0 Herndon
Hayfield Farm,Week3,Riverside Gardens,Week3,237.0 Riverside Gardens - 183.0 Hayfield Farm
Hayfield Farm,Week3,Rolling Forest,Week5,241.0 Hayfield Farm - 178.0 Rolling Forest
Hayfield Farm,Week4,Orange Hunt,Week2,282.0 Orange Hunt - 138.0 Hayfield Farm
Hayfield Farm,Week4,Orange Hunt,Week3,307.0 Orange Hunt - 113.0 Hayfield Farm
Hayfield Farm,Week3,Orange Hunt,Week2,293.0 Orange Hunt - 127.0 Hayfield Farm
Hayfield Farm,Week3,Riverside Gardens,Week4,221.0 Riverside Gardens - 199.0 Hayfield Farm
Herndon,Week4,Overlee,Week2,372.0 Overlee - 46.0 Herndon
Herndon,Week4,Overlee,Week3,375.0 Overlee - 44.0 Herndon
Herndon,Week1,Mansion House,Week2,302.0 Mansion House - 89.0 Herndon
Hayfield Farm,Week1,Orange Hunt,Week2,291.5 Orange Hunt - 128.5 Hayfield Farm
Herndon,Week4,Virginia Hills,Week5,302.0 Virginia Hills - 116.0 Herndon
Herndon,Week3,Overlee,Week5,383.0 Overlee - 23.0 Herndon
Hayfield Farm,Week4,Hunter Mill,Week5,230.0 Hunter Mill - 190.0 Hayfield Farm
Herndon,Week4,Overlee,Week1,358.0 Overlee - 60.0 Herndon
Herndon,Week3,Mansion House,Week5,316.0 Mansion House - 90.0 Herndon
Herndon,Week5,Long Branch,Week3,240.0 Long Branch - 180.0 Herndon
Herndon,Week4,Overlee,Week5,380.0 Overlee - 40.0 Herndon
Hayfield Farm,Week3,Riverside Gardens,Week1,214.0 Hayfield Farm - 206.0 Riverside Gardens
Herndon,Week4,Virginia Hills,Week4,327.0 Virginia Hills - 93.0 Herndon
Hayfield Farm,Week1,Riverside Gardens,Week1,233.0 Hayfield Farm - 187.0 Riverside Gardens
Herndon,Week2,Mansion House,Week2,329.5 Mansion House - 90.5 Herndon
Hayfield Farm,Week4,Long Branch,Week2,271.0 Hayfield Farm - 149.0 Long Branch
Herndon,Week3,Virginia Run,Week3,305.0 Virginia Run - 99.0 Herndon
Hayfield Farm,Week3,Hunter Mill,Week1,230.5 Hunter Mill - 189.5 Hayfield Farm
Hayfield Farm,Week5,Orange Hunt,Week2,262.0 Orange Hunt - 158.0 Hayfield Farm
Hayfield Farm,Week4,Rolling Forest,Week2,280.0 Hayfield Farm - 139.0 Rolling Forest
Hayfield Farm,Week5,Riverside Gardens,Week1,254.0 Hayfield Farm - 166.0 Riverside Gardens
Hayfield Farm,Week1,Ilda Community,Week1,319.0 Hayfield Farm - 87.0 Ilda Community
Hayfield Farm,Week1,Overlee,Week2,353.0 Overlee - 67.0 Hayfield Farm
Herndon,Week4,Virginia Hills,Week1,320.0 Virginia Hills - 99.0 Herndon
Hayfield Farm,Week5,Orange Hunt,Week3,278.0 Orange Hunt - 142.0 Hayfield Farm
Hayfield Farm,Week3,Orange Hunt,Week3,316.0 Orange Hunt - 104.0 Hayfield Farm
Herndon,Week3,Overlee,Week2,368.0 Overlee - 36.0 Herndon
Herndon,Week2,Parklawn,Week1,347.0 Parklawn - 72.0 Herndon
Hayfield Farm,Week1,Overlee,Week3,359.5 Overlee - 60.5 Hayfield Farm
Hayfield Farm,Week5,Riverside Gardens,Week5,213.0 Hayfield Farm - 207.0 Riverside Gardens
Herndon,Week3,Long Branch,Week2,258.0 Long Branch - 148.0 Herndon
Hayfield Farm,Week5,Riverside Gardens,Week3,233.0 Hayfield Farm - 187.0 Riverside Gardens
Hayfield Farm,Week2,Ilda Community,Week2,301.0 Hayfield Farm - 109.0 Ilda Community
Herndon,Week2,Mansion House,Week1,302.0 Mansion House - 116.0 Herndon
Hayfield Farm,Week4,Rolling Forest,Week4,232.0 Hayfield Farm - 188.0 Rolling Forest
Herndon,Week2,Mansion House,Week3,327.0 Mansion House - 89.0 Herndon
Herndon,Week4,Virginia Run,Week1,289.0 Virginia Run - 130.0 Herndon
Hayfield Farm,Week2,Orange Hunt,Week4,299.0 Orange Hunt - 121.0 Hayfield Farm
Herndon,Week5,Overlee,Week3,376.0 Overlee - 44.0 Herndon
Hayfield Farm,Week2,Ilda Community,Week3,294.0 Hayfield Farm - 125.0 Ilda Community
Herndon,Week3,Virginia Run,Week4,291.0 Virginia Run - 113.0 Herndon
Herndon,Week4,Long Branch,Week3,235.0 Long Branch - 185.0 Herndon
Hayfield Farm,Week3,Hunter Mill,Week5,258.0 Hunter Mill - 162.0 Hayfield Farm
Hayfield Farm,Week5,Riverside Gardens,Week2,242.0 Hayfield Farm - 178.0 Riverside Gardens
Herndon,Week1,Parklawn,Week4,339.0 Parklawn - 53.0 Herndon
Herndon,Week2,Virginia Run,Week4,322.0 Virginia Run - 93.0 Herndon
Hayfield Farm,Week2,Overlee,Week2,352.0 Overlee - 67.0 Hayfield Farm
Hayfield Farm,Week4,Hunter Mill,Week1,213.5 Hayfield Farm - 206.5 Hunter Mill
Hayfield Farm,Week1,Rolling Forest,Week3,247.0 Hayfield Farm - 168.0 Rolling Forest
Hayfield Farm,Week4,Riverside Gardens,Week2,237.5 Hayfield Farm - 182.5 Riverside Gardens
Herndon,Week3,Virginia Hills,Week5,310.0 Virginia Hills - 93.0 Herndon
Hayfield Farm,Week4,Hunter Mill,Week3,219.0 Hayfield Farm - 201.0 Hunter Mill
Hayfield Farm,Week3,Rolling Forest,Week1,241.0 Hayfield Farm - 174.0 Rolling Forest
Herndon,Week5,Overlee,Week2,368.0 Overlee - 52.0 Herndon
Herndon,Week5,Long Branch,Week4,254.0 Long Branch - 166.0 Herndon
Herndon,Week4,Long Branch,Week1,237.0 Long Branch - 183.0 Herndon
Herndon,Week4,Virginia Hills,Week3,317.0 Virginia Hills - 103.0 Herndon
Herndon,Week3,Mansion House,Week1,265.5 Mansion House - 138.5 Herndon
Hayfield Farm,Week5,Hunter Mill,Week1,218.0 Hayfield Farm - 202.0 Hunter Mill
Herndon,Week5,Overlee,Week1,354.0 Overlee - 66.0 Herndon
Herndon,Week4,Overlee,Week4,381.0 Overlee - 38.0 Herndon
Herndon,Week5,Virginia Hills,Week1,312.0 Virginia Hills - 108.0 Herndon
Herndon,Week3,Virginia Run,Week1,288.0 Virginia Run - 116.0 Herndon
Herndon,Week3,Long Branch,Week1,253.0 Long Branch - 153.0 Herndon
Hayfield Farm,Week1,Rolling Forest,Week5,258.0 Hayfield Farm - 161.0 Rolling Forest
Herndon,Week1,Parklawn,Week1,325.0 Parklawn - 67.0 Herndon
Herndon,Week1,Virginia Run,Week1,290.0 Virginia Run - 97.0 Herndon
Hayfield Farm,Week2,Overlee,Week1,342.0 Overlee - 77.0 Hayfield Farm
Hayfield Farm,Week2,Overlee,Week4,364.0 Overlee - 55.0 Hayfield Farm
Herndon,Week5,Overlee,Week4,382.0 Overlee - 38.0 Herndon
Herndon,Week3,Long Branch,Week4,269.0 Long Branch - 136.0 Herndon
Hayfield Farm,Week2,Hunter Mill,Week5,240.0 Hunter Mill - 180.0 Hayfield Farm
Herndon,Week1,Parklawn,Week2,334.0 Parklawn - 58.0 Herndon
Herndon,Week3,Long Branch,Week5,282.0 Long Branch - 124.0 Herndon
Hayfield Farm,Week2,Rolling Forest,Week4,219.0 Hayfield Farm - 199.0 Rolling Forest
Hayfield Farm,Week5,Hunter Mill,Week4,224.0 Hunter Mill - 196.0 Hayfield Farm
Hayfield Farm,Week5,Hunter Mill,Week2,210.0 Hayfield Farm - 210.0 Hunter Mill
Hayfield Farm,Week1,Overlee,Week5,364.0 Overlee - 56.0 Hayfield Farm
Hayfield Farm,Week1,Overlee,Week4,369.0 Overlee - 51.0 Hayfield Farm
Herndon,Week4,Virginia Hills,Week2,307.5 Virginia Hills - 111.5 Herndon
Herndon,Week2,Virginia Run,Week2,319.0 Virginia Run - 96.0 Herndon
Hayfield Farm,Week1,Ilda Community,Week3,310.0 Hayfield Farm - 110.0 Ilda Community
Herndon,Week3,Overlee,Week3,373.0 Overlee - 32.0 Herndon
Herndon,Week2,Mansion House,Week4,354.0 Mansion House - 65.0 Herndon
Hayfield Farm,Week4,Riverside Gardens,Week5,221.0 Riverside Gardens - 199.0 Hayfield Farm
Hayfield Farm,Week3,Overlee,Week4,370.0 Overlee - 50.0 Hayfield Farm
Hayfield Farm,Week2,Parklawn,Week5,295.0 Parklawn - 125.0 Hayfield Farm
Hayfield Farm,Week1,Parklawn,Week1,264.0 Parklawn - 156.0 Hayfield Farm
Herndon,Week4,Mantua,Week1,307.0 Mantua - 108.0 Herndon
Herndon,Week3,Mansion House,Week2,293.0 Mansion House - 113.0 Herndon
Hayfield Farm,Week1,Rolling Forest,Week4,218.0 Hayfield Farm - 202.0 Rolling Forest
Hayfield Farm,Week1,Ilda Community,Week5,305.0 Hayfield Farm - 114.0 Ilda Community
Herndon,Week3,Overlee,Week4,378.0 Overlee - 27.0 Herndon
Hayfield Farm,Week1,Ilda Community,Week2,320.0 Hayfield Farm - 91.0 Ilda Community
Herndon,Week4,Mansion House,Week1,253.0 Mansion House - 165.0 Herndon
Hayfield Farm,Week3,Overlee,Week2,358.0 Overlee - 62.0 Hayfield Farm
Herndon,Week3,Virginia Hills,Week2,311.0 Virginia Hills - 94.0 Herndon
Herndon,Week5,Virginia Hills,Week3,307.0 Virginia Hills - 113.0 Herndon
Hayfield Farm,Week4,Overlee,Week2,354.5 Overlee - 65.5 Hayfield Farm
Hayfield Farm,Week2,Rolling Forest,Week2,265.0 Hayfield Farm - 150.0 Rolling Forest
Hayfield Farm,Week5,Hunter Mill,Week3,217.0 Hunter Mill - 203.0 Hayfield Farm
Herndon,Week2,Parklawn,Week2,366.0 Parklawn - 53.0 Herndon
Herndon,Week1,Parklawn,Week5,344.0 Parklawn - 48.0 Herndon
Hayfield Farm,Week5,Riverside Gardens,Week4,230.0 Hayfield Farm - 190.0 Riverside Gardens
Hayfield Farm,Week4,Riverside Gardens,Week3,225.0 Hayfield Farm - 195.0 Riverside Gardens
Hayfield Farm,Week1,Rolling Forest,Week1,265.0 Hayfield Farm - 150.0 Rolling Forest
Herndon,Week3,Overlee,Week1,359.0 Overlee - 45.0 Herndon
Hayfield Farm,Week2,Rolling Forest,Week1,255.0 Hayfield Farm - 158.0 Rolling Forest
Herndon,Week5,Virginia Hills,Week4,324.0 Virginia Hills - 96.0 Herndon
Herndon,Week4,Mantua,Week3,336.0 Mantua - 84.0 Herndon
Hayfield Farm,Week2,Ilda Community,Week4,292.0 Hayfield Farm - 128.0 Ilda Community
Hayfield Farm,Week4,Hunter Mill,Week4,231.0 Hunter Mill - 189.0 Hayfield Farm
Herndon,Week3,Mansion House,Week3,293.0 Mansion House - 112.0 Herndon
Herndon,Week5,Virginia Hills,Week5,310.0 Virginia Hills - 110.0 Herndon
Hayfield Farm,Week3,Parklawn,Week2,289.0 Parklawn - 131.0 Hayfield Farm
Herndon,Week1,Virginia Run,Week3,316.0 Virginia Run - 72.0 Herndon
Herndon,Week1,Virginia Run,Week2,305.0 Virginia Run - 85.0 Herndon
Herndon,Week4,Mansion House,Week5,322.0 Mansion House - 98.0 Herndon
Herndon,Week3,Virginia Hills,Week1,328.0 Virginia Hills - 77.0 Herndon
Herndon,Week2,Parklawn,Week4,359.0 Parklawn - 61.0 Herndon
Herndon,Week5,Mantua,Week2,319.0 Mantua - 101.0 Herndon
Hayfield Farm,Week2,Ilda Community,Week5,291.0 Hayfield Farm - 125.0 Ilda Community
Herndon,Week3,Parklawn,Week1,319.0 Parklawn - 87.0 Herndon
Hayfield Farm,Week2,Rolling Forest,Week5,255.0 Hayfield Farm - 160.0 Rolling Forest
Hayfield Farm,Week2,Rolling Forest,Week3,250.0 Hayfield Farm - 164.0 Rolling Forest
Herndon,Week4,Mantua,Week5,343.0 Mantua - 77.0 Herndon
Herndon,Week3,Virginia Hills,Week3,315.0 Virginia Hills - 90.0 Herndon
Hayfield Farm,Week5,Hunter Mill,Week5,233.0 Hunter Mill - 187.0 Hayfield Farm
Hayfield Farm,Week4,Overlee,Week5,365.0 Overlee - 55.0 Hayfield Farm
Hayfield Farm,Week3,Overlee,Week3,364.0 Overlee - 56.0 Hayfield Farm
Hayfield Farm,Week3,Hunter Mill,Week2,224.0 Hunter Mill - 196.0 Hayfield Farm
Herndon,Week2,Virginia Run,Week1,306.0 Virginia Run - 109.0 Herndon
Hayfield Farm,Week4,Riverside Gardens,Week4,226.0 Hayfield Farm - 194.0 Riverside Gardens
Herndon,Week5,Mantua,Week3,333.0 Mantua - 87.0 Herndon
Hayfield Farm,Week4,Hunter Mill,Week2,212.0 Hunter Mill - 208.0 Hayfield Farm
Herndon,Week1,Virginia Run,Week4,298.0 Virginia Run - 89.0 Herndon
Hayfield Farm,Week1,Rolling Forest,Week2,266.0 Hayfield Farm - 153.0 Rolling Forest
Herndon,Week5,Mansion House,Week3,282.0 Mansion House - 138.0 Herndon
Herndon,Week3,Parklawn,Week5,338.5 Parklawn - 67.5 Herndon
Hayfield Farm,Week3,Hunter Mill,Week4,246.0 Hunter Mill - 174.0 Hayfield Farm
Hayfield Farm,Week5,Overlee,Week4,353.0 Overlee - 67.0 Hayfield Farm
Herndon,Week1,Mantua,Week3,334.0 Mantua - 57.0 Herndon
Hayfield Farm,Week2,Parklawn,Week4,280.0 Parklawn - 140.0 Hayfield Farm
Herndon,Week2,Wakefield Chapel,Week1,384.0 Wakefield Chapel - 36.0 Herndon
Hayfield Farm,Week3,Overlee,Week1,345.0 Overlee - 75.0 Hayfield Farm
Herndon,Week4,Mansion House,Week4,315.0 Mansion House - 105.0 Herndon
Hayfield Farm,Week3,Hunter Mill,Week3,240.0 Hunter Mill - 180.0 Hayfield Farm
Herndon,Week4,Parklawn,Week1,305.0 Parklawn - 115.0 Herndon
Herndon,Week1,Mantua,Week2,327.0 Mantua - 65.0 Herndon
Hayfield Farm,Week1,Parklawn,Week4,291.5 Parklawn - 128.5 Hayfield Farm
Herndon,Week5,Mansion House,Week5,319.0 Mansion House - 101.0 Herndon
Hayfield Farm,Week3,Rolling Forest,Week2,248.0 Hayfield Farm - 171.0 Rolling Forest
Hayfield Farm,Week4,Rolling Forest,Week1,270.0 Hayfield Farm - 145.0 Rolling Forest
Hayfield Farm,Week2,Parklawn,Week1,273.0 Parklawn - 147.0 Hayfield Farm
Herndon,Week5,Mansion House,Week2,285.5 Mansion House - 134.5 Herndon
Herndon,Week1,Mantua,Week5,339.0 Mantua - 53.0 Herndon
Herndon,Week2,Wakefield Chapel,Week5,390.0 Wakefield Chapel - 30.0 Herndon
Herndon,Week4,Wakefield Chapel,Week2,368.0 Wakefield Chapel - 52.0 Herndon
Hayfield Farm,Week5,Rolling Forest,Week1,254.0 Hayfield Farm - 161.0 Rolling Forest
Herndon,Week4,Virginia Run,Week5,300.0 Virginia Run - 118.0 Herndon
Herndon,Week2,Mantua,Week1,333.0 Mantua - 78.0 Herndon
Herndon,Week5,Parklawn,Week5,339.0 Parklawn - 81.0 Herndon
Hayfield Farm,Week3,Rolling Forest,Week4,210.0 Hayfield Farm - 210.0 Rolling Forest
Hayfield Farm,Week3,Rolling Forest,Week3,230.0 Hayfield Farm - 185.0 Rolling Forest
Hayfield Farm,Week4,Overlee,Week1,339.0 Overlee - 81.0 Hayfield Farm
Herndon,Week3,Virginia Run,Week5,301.0 Virginia Run - 103.0 Herndon
Hayfield Farm,Week5,Overlee,Week5,348.0 Overlee - 72.0 Hayfield Farm
Herndon,Week4,Parklawn,Week4,322.0 Parklawn - 98.0 Herndon
Herndon,Week4,Mansion House,Week3,280.0 Mansion House - 139.0 Herndon
Hayfield Farm,Week4,Riverside Gardens,Week1,247.5 Hayfield Farm - 172.5 Riverside Gardens
Hayfield Farm,Week1,Parklawn,Week2,261.0 Parklawn - 159.0 Hayfield Farm
Herndon,Week3,Virginia Run,Week2,297.0 Virginia Run - 107.0 Herndon
Herndon,Week2,Virginia Run,Week3,331.0 Virginia Run - 87.0 Herndon
Herndon,Week4,Parklawn,Week2,324.0 Parklawn - 96.0 Herndon
Hayfield Farm,Week4,Rolling Forest,Week3,261.0 Hayfield Farm - 154.0 Rolling Forest
Herndon,Week2,Virginia Run,Week5,331.0 Virginia Run - 84.0 Herndon
Hayfield Farm,Week4,Rolling Forest,Week5,274.0 Hayfield Farm - 145.0 Rolling Forest
Hayfield Farm,Week1,Ilda Community,Week4,309.0 Hayfield Farm - 111.0 Ilda Community
Herndon,Week4,Parliament,Week4,258.0 Parliament - 162.0 Herndon
Herndon,Week3,Parliament,Week1,253.0 Parliament - 152.0 Herndon
Herndon,Week2,Mantua,Week2,354.0 Mantua - 65.0 Herndon
Herndon,Week3,Mantua,Week3,337.0 Mantua - 69.0 Herndon
Herndon,Week3,Parliament,Week2,246.0 Parliament - 160.0 Herndon
Herndon,Week3,Mantua,Week2,330.0 Mantua - 76.0 Herndon
Herndon,Week5,Virginia Run,Week4,274.0 Virginia Run - 145.0 Herndon
Hayfield Farm,Week4,Overlee,Week3,354.0 Overlee - 66.0 Hayfield Farm
Hayfield Farm,Week3,Overlee,Week5,363.0 Overlee - 57.0 Hayfield Farm
Herndon,Week3,Wakefield Chapel,Week4,378.0 Wakefield Chapel - 28.0 Herndon
Herndon,Week2,Mantua,Week4,368.0 Mantua - 51.0 Herndon
Hayfield Farm,Week2,Parklawn,Week2,260.0 Parklawn - 160.0 Hayfield Farm
Herndon,Week1,Parliament,Week3,268.0 Parliament - 122.0 Herndon
Herndon,Week4,Wakefield Chapel,Week1,370.0 Wakefield Chapel - 50.0 Herndon
Herndon,Week3,Parliament,Week5,279.0 Parliament - 127.0 Herndon
Hayfield Farm,Week4,Rolling Hills,Week1,233.5 Rolling Hills - 186.5 Hayfield Farm
Herndon,Week5,Wakefield Chapel,Week2,372.0 Wakefield Chapel - 48.0 Herndon
Herndon,Week3,Mantua,Week1,303.0 Mantua - 97.0 Herndon
Hayfield Farm,Week5,Rolling Forest,Week3,259.0 Hayfield Farm - 156.0 Rolling Forest
Hayfield Farm,Week1,Rolling Hills,Week3,265.0 Rolling Hills - 155.0 Hayfield Farm
Hayfield Farm,Week2,Overlee,Week5,358.0 Overlee - 62.0 Hayfield Farm
Herndon,Week2,Mantua,Week3,353.0 Mantua - 67.0 Herndon
Herndon,Week5,Mansion House,Week4,319.0 Mansion House - 101.0 Herndon
Herndon,Week1,Pinecrest,Week5,352.0 Pinecrest - 40.0 Herndon
Hayfield Farm,Week5,Rolling Forest,Week2,284.0 Hayfield Farm - 136.0 Rolling Forest
Herndon,Week4,Parliament,Week2,243.0 Parliament - 177.0 Herndon
Hayfield Farm,Week5,Overlee,Week1,331.0 Overlee - 89.0 Hayfield Farm
Herndon,Week1,Wakefield Chapel,Week1,363.0 Wakefield Chapel - 29.0 Herndon
Herndon,Week1,Pinecrest,Week3,332.0 Pinecrest - 59.0 Herndon
Herndon,Week3,Wakefield Chapel,Week5,368.0 Wakefield Chapel - 38.0 Herndon
Hayfield Farm,Week3,Rolling Hills,Week2,256.0 Rolling Hills - 164.0 Hayfield Farm
Hayfield Farm,Week5,Rolling Forest,Week4,215.0 Hayfield Farm - 205.0 Rolling Forest
Hayfield Farm,Week4,Rolling Hills,Week2,247.0 Rolling Hills - 173.0 Hayfield Farm
Hayfield Farm,Week5,Overlee,Week3,345.0 Overlee - 75.0 Hayfield Farm
Herndon,Week4,Parklawn,Week5,342.0 Parklawn - 78.0 Herndon
Hayfield Farm,Week4,Overlee,Week4,366.0 Overlee - 54.0 Hayfield Farm
Herndon,Week3,Wakefield Chapel,Week2,365.0 Wakefield Chapel - 41.0 Herndon
Hayfield Farm,Week2,Rolling Hills,Week3,257.0 Rolling Hills - 163.0 Hayfield Farm
Hayfield Farm,Week1,Rolling Hills,Week5,289.0 Rolling Hills - 131.0 Hayfield Farm
Hayfield Farm,Week5,Rolling Forest,Week5,263.0 Hayfield Farm - 157.0 Rolling Forest
Herndon,Week1,Parliament,Week5,298.0 Parliament - 94.0 Herndon
Herndon,Week5,Virginia Run,Week5,302.0 Virginia Run - 118.0 Herndon
Herndon,Week1,Mantua,Week4,335.0 Mantua - 57.0 Herndon
Herndon,Week5,Parklawn,Week4,323.0 Parklawn - 97.0 Herndon
Herndon,Week2,Parliament,Week1,307.0 Parliament - 109.0 Herndon
Hayfield Farm,Week3,Rolling Hills,Week4,292.0 Rolling Hills - 128.0 Hayfield Farm
Hayfield Farm,Week1,Parklawn,Week5,299.0 Parklawn - 121.0 Hayfield Farm
Herndon,Week5,Mansion House,Week1,255.0 Mansion House - 165.0 Herndon
Herndon,Week5,Virginia Run,Week1,284.0 Virginia Run - 135.0 Herndon
Herndon,Week5,Wakefield Chapel,Week3,381.0 Wakefield Chapel - 39.0 Herndon
Herndon,Week2,Parliament,Week3,289.0 Parliament - 126.0 Herndon
Herndon,Week1,Mantua,Week1,302.0 Mantua - 86.0 Herndon
Hayfield Farm,Week3,Parklawn,Week1,281.0 Parklawn - 139.0 Hayfield Farm
Hayfield Farm,Week1,Parliament,Week2,264.0 Hayfield Farm - 156.0 Parliament
Herndon,Week1,Wakefield Chapel,Week2,361.0 Wakefield Chapel - 31.0 Herndon
Herndon,Week5,Parklawn,Week2,326.0 Parklawn - 94.0 Herndon
Hayfield Farm,Week5,Overlee,Week2,341.0 Overlee - 79.0 Hayfield Farm
Hayfield Farm,Week4,Rolling Hills,Week3,256.0 Rolling Hills - 164.0 Hayfield Farm
Hayfield Farm,Week3,Rolling Hills,Week5,296.0 Rolling Hills - 124.0 Hayfield Farm
Herndon,Week3,Mantua,Week4,335.0 Mantua - 71.0 Herndon
Herndon,Week4,Wakefield Chapel,Week4,387.0 Wakefield Chapel - 33.0 Herndon
Herndon,Week2,Mantua,Week5,365.0 Mantua - 54.0 Herndon
Herndon,Week2,Wakefield Chapel,Week2,387.0 Wakefield Chapel - 32.0 Herndon
Herndon,Week5,Virginia Run,Week3,301.0 Virginia Run - 118.0 Herndon
Hayfield Farm,Week5,Parliament,Week3,268.0 Hayfield Farm - 152.0 Parliament
Hayfield Farm,Week2,Rolling Hills,Week5,285.0 Rolling Hills - 135.0 Hayfield Farm
Herndon,Week3,Mantua,Week5,346.0 Mantua - 60.0 Herndon
Herndon,Week1,Parliament,Week2,271.0 Parliament - 121.0 Herndon
Herndon,Week3,McLean,Week5,352.0 McLean - 54.0 Herndon
Herndon,Week1,Mosby Woods,Week2,273.0 Mosby Woods - 115.0 Herndon
Herndon,Week5,Virginia Run,Week2,294.0 Virginia Run - 126.0 Herndon
Hayfield Farm,Week2,Rolling Hills,Week2,240.0 Rolling Hills - 179.0 Hayfield Farm
Herndon,Week2,McLean,Week4,367.0 McLean - 53.0 Herndon
Hayfield Farm,Week3,Rolling Hills,Week3,281.0 Rolling Hills - 139.0 Hayfield Farm
Hayfield Farm,Week1,Rolling Hills,Week2,247.0 Rolling Hills - 173.0 Hayfield Farm
Hayfield Farm,Week1,Parliament,Week4,215.0 Hayfield Farm - 205.0 Parliament
Herndon,Week3,Parliament,Week3,249.0 Parliament - 155.0 Herndon
Hayfield Farm,Week2,Parliament,Week2,257.0 Hayfield Farm - 163.0 Parliament
Hayfield Farm,Week1,Rolling Hills,Week4,276.0 Rolling Hills - 144.0 Hayfield Farm
Herndon,Week1,Parliament,Week4,297.0 Parliament - 95.0 Herndon
Hayfield Farm,Week4,Rolling Hills,Week4,274.0 Rolling Hills - 146.0 Hayfield Farm
Herndon,Week2,Parliament,Week2,290.0 Parliament - 129.0 Herndon
Hayfield Farm,Week3,Rolling Hills,Week1,265.5 Rolling Hills - 154.5 Hayfield Farm
Herndon,Week5,Wakefield Chapel,Week4,381.5 Wakefield Chapel - 38.5 Herndon
Herndon,Week4,Virginia Run,Week4,270.0 Virginia Run - 149.0 Herndon
Hayfield Farm,Week2,Parliament,Week3,235.0 Hayfield Farm - 183.0 Parliament
Herndon,Week2,Wakefield Chapel,Week3,394.0 Wakefield Chapel - 26.0 Herndon
Herndon,Week3,Parliament,Week4,276.0 Parliament - 130.0 Herndon
Hayfield Farm,Week4,Parklawn,Week4,282.0 Parklawn - 138.0 Hayfield Farm
Hayfield Farm,Week2,Parliament,Week1,241.0 Hayfield Farm - 178.0 Parliament
Herndon,Week4,Mantua,Week4,334.0 Mantua - 86.0 Herndon
Herndon,Week2,Parliament,Week5,314.0 Parliament - 106.0 Herndon
Herndon,Week4,Virginia Run,Week3,295.0 Virginia Run - 124.0 Herndon
Herndon,Week5,Mantua,Week4,331.0 Mantua - 89.0 Herndon
Herndon,Week5,Parklawn,Week1,310.0 Parklawn - 110.0 Herndon
Herndon,Week2,Parliament,Week4,318.0 Parliament - 102.0 Herndon
Herndon,Week4,Mantua,Week2,326.0 Mantua - 94.0 Herndon
Herndon,Week5,Mantua,Week1,303.0 Mantua - 116.0 Herndon
Hayfield Farm,Week3,Parliament,Week1,220.0 Hayfield Farm - 200.0 Parliament
Herndon,Week1,Wakefield Chapel,Week3,366.0 Wakefield Chapel - 26.0 Herndon
Hayfield Farm,Week3,Parliament,Week2,232.0 Hayfield Farm - 188.0 Parliament
Hayfield Farm,Week5,Parliament,Week5,252.0 Hayfield Farm - 168.0 Parliament
Herndon,Week1,Parliament,Week1,286.0 Parliament - 105.0 Herndon
Herndon,Week3,Wakefield Chapel,Week3,379.0 Wakefield Chapel - 27.0 Herndon
Herndon,Week1,Wakefield Chapel,Week5,362.0 Wakefield Chapel - 30.0 Herndon
Hayfield Farm,Week2,Rolling Hills,Week4,282.0 Rolling Hills - 138.0 Hayfield Farm
Hayfield Farm,Week4,Rolling Hills,Week5,282.0 Rolling Hills - 138.0 Hayfield Farm
Herndon,Week1,Wakefield Chapel,Week4,372.0 Wakefield Chapel - 20.0 Herndon
