Year,Rank,Team,Average ELO,Average Ranking
2013,31,Riverside Gardens,2089.71,30.17
2013,32,Fair Oaks,2005.18,32.83
2013,33,Cottontail,2000.68,32.94
2013,34,Dowden Terrace,1989.06,33.5
2013,35,Poplar Heights,1953.9,35.02
2013,36,Greenbriar,1920.92,36.67
2013,37,Mosby Woods,1908.88,37.45
2013,38,Hollin Meadows,1901.87,37.83
2013,39,Holmes Run Acres,1897.22,38.18
2013,40,Waynewood,1862.86,39.95
2013,41,Kent Gardens,1823.49,41.8
2013,42,Sleepy Hollow B & R,1821.03,41.86
2013,43,Mansion House,1814.07,42.02
2013,44,High Point Pool,1739.92,45.49
2013,45,Arlington Forest,1735.95,45.77
2013,46,Villa Aquatic,1735.83,45.64
2013,47,Shouse Village,1713.99,47.31
2013,48,Dominion Hills,1706.36,48.08
2013,49,Forest Hollow,1703.03,48.37
2013,50,Fox Mill Estates,1681.98,50.35
2013,51,Highland Park,1673.2,51.12
2013,52,Sideburn Run,1665.1,51.88
2013,53,Brandywine,1656.97,52.51
2013,54,Fox Mill Woods,1656.11,52.51
2013,55,Great Falls,1599.58,55.08
2013,56,Rolling Forest,1562.6,55.84
2013,57,Orange Hunt,1426.21,57.66
2013,58,Rutherford,1397.84,59.08
2013,59,Hayfield Farm,1393.92,59.43
2013,60,Hiddenbrook,1390.61,59.63
2013,61,Stratford,1373.88,61.05
2013,62,Country Club Hills,1365.48,61.58
2013,63,Canterbury Woods,1357.56,62.4
2013,64,Walden Glen,1337.4,63.7
2013,65,South Run,1316.06,64.52
2013,66,Fox Hunt,1258.5,66.5
2013,67,Laurel Hill,1242.66,67.3
2013,68,Brookfield,1227.15,68.29
2013,69,Lakeview,1209.79,69.42
2013,70,Truro,1201.72,70.29
2013,71,Camelot,1193.06,70.68
2013,72,Old Keene Mill,1174.2,72.04
2013,73,Long Branch,1169.13,72.5
2013,74,Kings Ridge,1161.83,72.95
2013,75,Annandale,1097.19,75.13
2013,76,Little Hunting Park,1056.92,76.23
2013,77,Parliament,1042.76,76.7
2013,78,Sleepy Hollow Rec,990.24,78.3
2013,79,Woodley,975.79,78.86
2013,80,Springboard,947.45,80.11
2013,81,Fairfax Club Estates,928.02,80.79
2013,82,Somerset-Olde Creek,890.93,81.96
2013,83,Lake Braddock,836.59,83.8
2013,84,Rolling Valley,831.9,84.08
2013,85,Ilda Community,824.67,84.53
2013,86,Commonwealth,804.22,85.49
2013,87,Virginia Hills,714.41,87.03
2013,88,Village West,659.14,88.51
2013,89,Hollin Hills,644.99,89.2
2013,90,Rolling Hills,637.57,89.51
2013,91,Newington Forest,602.56,90.94
2013,92,Parklawn,572.55,91.81
2013,93,Pleasant Valley,492.33,93.15
2013,94,Daventry,468.91,93.92
2013,95,Lincolnia Park,415.85,95.9
2013,96,Burke Station,414.83,95.92
2013,97,Herndon,409.65,96.11
2013,98,North Springfield,321.33,98.0
2013,99,Broyhill Crest,190.34,99.0
2013,100,Pinewood Lake,100.58,100.0
2013,101,Edsall Park,35.39,101.01
2013,102,Springfield,-0.74,101.99
2014,1,Chesterbrook,3149.83,1.07
2014,2,Overlee,3122.86,1.93
2014,3,Tuckahoe,3030.05,3.0
2014,4,McLean,2950.16,4.21
2014,5,Highlands Swim,2936.43,4.79
2014,6,Wakefield Chapel,2786.52,6.0
2014,7,Hamlet,2685.43,7.16
2014,8,Hunt Valley,2654.36,8.3
2014,9,Donaldson Run,2648.91,8.57
2014,10,Lakevale Estates,2596.27,10.19
2014,11,Vienna Aquatic,2573.96,10.8
2014,12,Vienna Woods,2499.77,13.41
2014,13,Little Rocky Run,2494.74,13.64
2014,14,Hunter Mill,2492.02,13.83
2014,15,Mount Vernon Park,2486.6,14.35
2014,16,Fairfax,2480.15,14.75
2014,17,Lee Graham,2353.47,17.12
2014,18,Langley,2324.38,18.06
2014,19,Ravensworth Farm,2292.73,19.11
2014,20,Dunn Loring,2268.98,19.86
2014,21,Virginia Run,2222.14,22.02
2014,22,Crosspointe,2216.3,22.31
2014,23,Oakton,2198.47,23.53
2014,24,Fairfax Station,2193.66,23.7
2014,25,Pinecrest,2192.36,23.9
2014,26,Cardinal Hill,2148.82,26.3
2014,27,Poplar Tree,2140.24,26.66
2014,28,Riverside Gardens,2124.87,27.49
2014,29,Mosby Woods,2059.66,29.71
2014,30,Sleepy Hollow B & R,2052.28,30.1
2014,31,Sully Station,2039.79,30.7
2014,32,Cottontail,2021.6,31.5
2014,33,Sideburn Run,1959.66,34.67
2014,34,Greenbriar,1957.62,34.79
2014,35,Mantua,1955.82,34.96
2014,36,Dowden Terrace,1945.4,35.55
2014,37,Fair Oaks,1942.9,35.79
2014,38,Villa Aquatic,1919.82,37.22
2014,39,Fox Mill Estates,1850.36,40.66
2014,40,Hollin Meadows,1840.24,41.53
2014,41,Holmes Run Acres,1839.85,41.62
2014,42,Dominion Hills,1838.94,41.61
2014,43,Mansion House,1838.68,41.58
2014,44,Kent Gardens,1818.47,43.21
2014,45,Arlington Forest,1806.53,44.15
2014,46,High Point Pool,1768.4,46.25
2014,47,Forest Hollow,1748.08,47.25
2014,48,Highland Park,1745.91,47.31
2014,49,Waynewood,1701.34,49.16
2014,50,Poplar Heights,1679.35,49.92
2014,51,Fox Mill Woods,1655.16,50.82
2014,52,Sully Station II,1611.74,52.42
2014,53,Brandywine,1606.19,52.6
2014,54,Rolling Forest,1568.73,54.03
2014,55,Orange Hunt,1535.52,55.05
2014,56,Country Club Hills,1511.76,56.08
2014,57,Lakeview,1481.17,57.4
2014,58,Camelot,1463.96,58.27
2014,59,Walden Glen,1449.23,59.07
2014,60,South Run,1441.52,59.75
2014,61,Hiddenbrook,1405.94,62.38
2014,62,Brookfield,1402.92,62.42
2014,63,Laurel Hill,1402.54,62.54
2014,64,Rutherford,1401.11,62.5
2014,65,Great Falls,1355.04,65.21
2014,66,Canterbury Woods,1353.65,65.37
2014,67,Stratford,1310.88,66.92
2014,68,Shouse Village,1272.66,68.13
2014,69,Fox Hunt,1239.84,69.32
2014,70,Sleepy Hollow Rec,1231.81,69.51
2014,71,Kings Ridge,1167.65,71.47
2014,72,Hayfield Farm,1164.84,71.62
2014,73,Fairfax Club Estates,1119.62,73.05
2014,74,Truro,1094.19,73.94
2014,75,Long Branch,1061.25,74.92
2014,76,Somerset-Olde Creek,1008.76,76.26
2014,77,Woodley,988.87,76.79
2014,78,Lake Braddock,949.8,78.27
2014,79,Rolling Valley,922.99,79.77
2014,80,Virginia Hills,920.8,79.73
2014,81,Hollin Hills,912.7,80.18
2014,82,Springboard,860.1,82.13
2014,83,Little Hunting Park,826.87,83.12
2014,84,Annandale,807.15,83.98
2014,85,Commonwealth,783.88,84.91
2014,86,Parliament,742.93,86.72
2014,87,Daventry,734.79,87.33
2014,88,Village West,725.68,87.66
2014,89,Old Keene Mill,714.28,88.29
2014,90,Herndon,673.99,90.3
2014,91,Parklawn,652.31,91.24
2014,92,Rolling Hills,645.09,91.51
2014,93,Lincolnia Park,614.3,92.91
2014,94,Ilda Community,576.95,94.24
2014,95,Newington Forest,568.75,94.57
2014,96,Burke Station,444.83,96.0
2014,97,North Springfield,363.07,97.44
2014,98,Pleasant Valley,361.46,97.56
2014,99,Broyhill Crest,239.23,99.0
2014,100,Edsall Park,128.96,100.23
2014,101,Springfield,113.41,100.77
2014,102,Pinewood Lake,13.97,102.0
2015,1,Overlee,3046.87,1.08
2015,2,Chesterbrook,3016.06,1.93
2015,3,Tuckahoe,2955.95,2.99
2015,4,McLean,2893.81,4.0
2015,5,Highlands Swim,2805.92,5.0
2015,6,Wakefield Chapel,2754.58,6.0
2015,7,Hunter Mill,2626.1,7.0
2015,8,Donaldson Run,2473.61,8.24
2015,9,Hunt Valley,2436.07,9.61
2015,10,Langley,2435.98,9.77
2015,11,Lee Graham,2403.86,11.74
2015,12,Mount Vernon Park,2402.93,11.81
2015,13,Hamlet,2384.19,12.88
2015,14,Fairfax,2379.16,13.2
2015,15,Vienna Aquatic,2342.1,15.12
2015,16,Little Rocky Run,2318.61,16.21
2015,17,Vienna Woods,2312.3,16.52
2015,18,Ravensworth Farm,2244.22,18.19
2015,19,Pinecrest,2215.5,19.13
2015,20,Crosspointe,2192.57,19.84
2015,21,Fair Oaks,2149.75,21.19
2015,22,Virginia Run,2112.46,23.37
2015,23,Kent Gardens,2105.72,23.93
2015,24,Cottontail,2094.46,24.87
2015,25,Dunn Loring,2092.62,25.26
2015,26,Lakevale Estates,2087.18,25.69
2015,27,Sleepy Hollow B & R,2084.69,25.87
2015,28,Dowden Terrace,2055.44,28.59
2015,29,High Point Pool,2054.67,28.76
2015,30,Cardinal Hill,2041.89,29.9
2015,31,Mantua,2038.86,30.05
2015,32,Oakton,2027.27,31.02
2015,33,Dominion Hills,2003.58,32.34
2015,34,Poplar Tree,1929.13,34.71
2015,35,Arlington Forest,1917.49,35.23
2015,36,Greenbriar,1901.77,36.0
2015,37,Mosby Woods,1893.72,36.41
2015,38,Villa Aquatic,1860.62,38.2
2015,39,Riverside Gardens,1830.25,39.94
2015,40,Mansion House,1819.78,40.67
2015,41,Fairfax Station,1810.05,41.51
2015,42,Sully Station,1806.86,41.63
2015,43,Hollin Meadows,1796.13,42.53
2015,44,Sideburn Run,1775.73,44.25
2015,45,Fox Mill Estates,1774.28,44.26
2015,46,Orange Hunt,1755.01,46.02
2015,47,Waynewood,1738.92,46.98
2015,48,Highland Park,1728.05,47.73
2015,49,Fox Mill Woods,1706.28,48.96
2015,50,Great Falls,1703.29,49.0
2015,51,Walden Glen,1646.17,51.82
2015,52,Lakeview,1634.32,52.59
2015,53,Holmes Run Acres,1623.0,53.42
2015,54,Hiddenbrook,1620.82,53.41
2015,55,Sully Station II,1597.64,55.32
2015,56,Sleepy Hollow Rec,1583.89,56.31
2015,57,Forest Hollow,1575.22,56.93
2015,58,Camelot,1562.39,57.83
2015,59,Rutherford,1559.41,58.2
2015,60,Laurel Hill,1528.91,60.12
2015,61,Country Club Hills,1515.72,60.67
2015,62,Poplar Heights,1500.22,61.26
2015,63,Shouse Village,1422.63,63.24
2015,64,South Run,1396.35,64.04
2015,65,Springboard,1368.78,65.0
2015,66,Rolling Forest,1339.38,65.83
2015,67,Brookfield,1291.52,67.68
2015,68,Somerset-Olde Creek,1282.67,68.03
2015,69,Canterbury Woods,1277.97,68.29
2015,70,Truro,1222.21,70.29
2015,71,Virginia Hills,1192.24,71.54
2015,72,Fairfax Club Estates,1186.29,71.75
2015,73,Stratford,1171.4,72.36
2015,74,Little Hunting Park,1103.08,74.8
2015,75,Long Branch,1101.26,74.9
2015,76,Hayfield Farm,1073.13,76.28
2015,77,Brandywine,1061.05,77.12
2015,78,Kings Ridge,1044.42,78.19
2015,79,Old Keene Mill,1036.24,78.79
2015,80,Lake Braddock,1018.6,80.1
2015,81,Fox Hunt,1008.38,80.91
2015,82,Hollin Hills,997.23,81.2
2015,83,Ilda Community,952.92,83.79
2015,84,Annandale,946.11,84.11
2015,85,Parklawn,936.48,84.72
2015,86,Rolling Valley,928.86,85.21
2015,87,Village West,877.94,87.56
2015,88,Woodley,871.27,87.87
2015,89,Herndon,854.7,88.82
2015,90,Rolling Hills,836.22,89.57
2015,91,Daventry,726.51,91.04
2015,92,Parliament,671.34,92.03
2015,93,Commonwealth,625.45,93.0
2015,94,Burke Station,581.93,94.08
2015,95,Newington Forest,552.62,94.85
2015,96,Lincolnia Park,484.67,96.0
2015,97,North Springfield,393.06,97.35
2015,98,Pleasant Valley,386.39,97.65
2015,99,Broyhill Crest,268.93,99.0
2015,100,Edsall Park,197.34,100.46
2015,101,Springfield,192.08,100.54
2015,102,Pinewood Lake,36.2,102.0
2016,1,Chesterbrook,3174.34,1.0
2016,2,Overlee,3065.38,2.01
2016,3,Tuckahoe,3021.26,2.99
2016,4,McLean,2962.45,4.0
2016,5,Wakefield Chapel,2774.1,5.01
2016,6,Hunt Valley,2696.95,7.0
2016,7,Highlands Swim,2696.85,7.02
2016,8,Hamlet,2696.75,6.97
2016,9,Fairfax,2596.21,9.42
2016,10,Little Rocky Run,2585.24,9.91
2016,11,Langley,2561.82,10.69
2016,12,Dowden Terrace,2498.82,12.85
2016,13,Hunter Mill,2498.65,12.81
2016,14,Mount Vernon Park,2469.82,14.34
2016,15,Lakevale Estates,2460.0,14.96
2016,16,Ravensworth Farm,2447.22,15.66
2016,17,Vienna Aquatic,2419.03,17.0
2016,18,Vienna Woods,2398.56,18.04
2016,19,Donaldson Run,2388.32,18.32
2016,20,Fair Oaks,2288.97,20.27
2016,21,Oakton,2253.17,21.56
2016,22,Lee Graham,2244.59,21.9
2016,23,High Point Pool,2230.07,22.8
2016,24,Poplar Tree,2190.86,24.8
2016,25,Dunn Loring,2188.67,25.04
2016,26,Greenbriar,2180.34,25.29
2016,27,Cardinal Hill,2143.98,27.6
2016,28,Crosspointe,2142.29,27.61
2016,29,Virginia Run,2124.61,28.39
2016,30,Sully Station,2093.27,29.85
2016,31,Mosby Woods,2047.59,31.47
2016,32,Mantua,2036.98,32.01
2016,33,Pinecrest,2009.51,33.27
2016,34,Dominion Hills,1996.45,34.04
2016,35,Cottontail,1977.23,35.14
2016,36,Sleepy Hollow B & R,1966.63,35.7
2016,37,Fairfax Station,1946.23,36.88
2016,38,Arlington Forest,1920.3,38.17
2016,39,Hiddenbrook,1907.94,38.8
2016,40,Orange Hunt,1880.47,40.67
2016,41,Country Club Hills,1858.36,42.06
2016,42,Lakeview,1857.48,42.4
2016,43,Riverside Gardens,1857.4,42.21
2016,44,Fox Mill Woods,1833.82,44.05
2016,45,Waynewood,1830.47,44.3
2016,46,Sideburn Run,1824.24,44.79
2016,47,Kent Gardens,1762.05,47.03
2016,48,Villa Aquatic,1717.02,48.24
2016,49,Fox Mill Estates,1685.68,49.59
2016,50,Sleepy Hollow Rec,1664.04,50.6
2016,51,Camelot,1663.78,50.59
2016,52,Hollin Meadows,1653.89,51.24
2016,53,Forest Hollow,1617.91,53.01
2016,54,Mansion House,1598.78,53.93
2016,55,Highland Park,1574.11,54.7
2016,56,Rutherford,1511.67,56.45
2016,57,Walden Glen,1505.01,56.73
2016,58,Rolling Forest,1462.14,58.27
2016,59,Great Falls,1437.76,59.34
2016,60,Sully Station II,1430.76,59.66
2016,61,South Run,1393.89,61.57
2016,62,Poplar Heights,1393.24,61.48
2016,63,Canterbury Woods,1347.75,64.33
2016,64,Virginia Hills,1345.17,64.34
2016,65,Kings Ridge,1338.03,64.85
2016,66,Annandale,1332.75,65.33
2016,67,Somerset-Olde Creek,1326.52,65.7
2016,68,Brandywine,1265.17,68.36
2016,69,Brookfield,1251.1,68.92
2016,70,Stratford,1223.75,70.0
2016,71,Laurel Hill,1185.7,71.63
2016,72,Fairfax Club Estates,1178.01,71.9
2016,73,Old Keene Mill,1161.01,72.93
2016,74,Springboard,1146.78,73.7
2016,75,Shouse Village,1124.62,74.76
2016,76,Hayfield Farm,1093.91,75.79
2016,77,Lake Braddock,1042.34,77.22
2016,78,Little Hunting Park,1009.59,78.69
2016,79,Fox Hunt,1006.05,78.94
2016,80,Truro,1001.39,79.18
2016,81,Holmes Run Acres,958.89,80.93
2016,82,Hollin Hills,810.37,82.69
2016,83,Rolling Hills,807.31,82.82
2016,84,Woodley,781.93,84.49
2016,85,Ilda Community,775.24,84.82
2016,86,Burke Station,768.05,85.19
2016,87,Herndon,689.47,87.23
2016,88,Parliament,664.33,88.54
2016,89,Rolling Valley,647.08,89.48
2016,90,Long Branch,643.48,89.72
2016,91,Daventry,628.32,90.66
2016,92,Lincolnia Park,612.72,91.36
2016,93,Parklawn,548.97,93.0
2016,94,Commonwealth,480.75,94.05
2016,95,Village West,444.9,94.95
2016,96,Pleasant Valley,381.44,96.0
2016,97,Newington Forest,293.79,97.0
2016,98,Broyhill Crest,213.61,98.5
2016,99,North Springfield,213.39,98.51
2016,100,Springfield,153.56,99.99
2016,101,Edsall Park,29.02,101.0
2016,102,Pinewood Lake,-41.27,102.0
2017,1,Chesterbrook,3183.74,1.01
2017,2,Tuckahoe,3140.34,2.29
2017,3,Overlee,3126.84,2.7
2017,4,Highlands Swim,2986.72,4.31
2017,5,McLean,2976.01,4.69
2017,6,Wakefield Chapel,2841.63,6.07
2017,7,Langley,2801.16,7.03
2017,8,Fairfax,2768.59,7.9
2017,9,Little Rocky Run,2685.98,9.3
2017,10,Vienna Aquatic,2670.36,9.93
2017,11,Donaldson Run,2647.54,10.78
2017,12,Mount Vernon Park,2587.79,12.22
2017,13,Hamlet,2563.97,13.15
2017,14,Dowden Terrace,2551.64,13.65
2017,15,High Point Pool,2480.47,14.97
2017,16,Lee Graham,2378.96,16.55
2017,17,Crosspointe,2364.71,17.28
2017,18,Oakton,2349.77,18.14
2017,19,Vienna Woods,2332.79,19.23
2017,20,Hunt Valley,2329.83,19.2
2017,21,Virginia Run,2301.08,20.67
2017,22,Orange Hunt,2259.59,22.32
2017,23,Mantua,2243.03,22.68
2017,24,Pinecrest,2184.01,24.28
2017,25,Cardinal Hill,2169.66,24.72
2017,26,Villa Aquatic,2102.44,27.36
2017,27,Hiddenbrook,2098.03,27.76
2017,28,Greenbriar,2092.43,28.1
2017,29,Ravensworth Farm,2084.99,28.78
2017,30,Hunter Mill,2080.94,29.1
2017,31,Country Club Hills,2060.29,30.75
2017,32,Poplar Tree,2050.21,31.35
2017,33,Kent Gardens,2008.32,33.34
2017,34,Fair Oaks,1983.91,34.45
2017,35,Arlington Forest,1979.96,34.55
2017,36,Dunn Loring,1960.32,35.44
2017,37,Dominion Hills,1897.93,37.78
2017,38,Sleepy Hollow B & R,1872.57,39.32
2017,39,Fox Mill Woods,1872.14,39.52
2017,40,Waynewood,1867.37,39.7
2017,41,Walden Glen,1854.91,40.85
2017,42,Lakeview,1854.67,40.77
2017,43,Sully Station,1838.04,42.02
2017,44,Hollin Meadows,1746.72,44.28
2017,45,Sleepy Hollow Rec,1715.84,45.25
2017,46,Lakevale Estates,1690.61,46.39
2017,47,Mosby Woods,1687.27,46.62
2017,48,Fairfax Station,1657.12,48.16
2017,49,Camelot,1647.14,48.44
2017,50,Mansion House,1598.78,50.52
2017,51,Rutherford,1597.02,50.53
2017,52,Fox Mill Estates,1551.66,52.03
2017,53,Riverside Gardens,1518.24,53.69
2017,54,Great Falls,1499.29,54.67
2017,55,Annandale,1489.63,55.2
2017,56,Shouse Village,1475.91,56.36
2017,57,Virginia Hills,1475.65,56.42
2017,58,Poplar Heights,1459.26,57.79
2017,59,Old Keene Mill,1444.77,59.02
2017,60,Cottontail,1433.9,59.92
2017,61,Somerset-Olde Creek,1419.18,60.73
2017,62,Sideburn Run,1399.86,61.67
2017,63,Springboard,1383.48,62.67
2017,64,Canterbury Woods,1348.77,64.2
2017,65,Brandywine,1337.57,64.65
2017,66,Highland Park,1300.64,65.9
2017,67,South Run,1255.85,67.26
2017,68,Fairfax Club Estates,1227.11,68.58
2017,69,Kings Ridge,1205.34,70.32
2017,70,Truro,1202.51,70.32
2017,71,Stratford,1198.2,70.59
2017,72,Little Hunting Park,1192.46,71.16
2017,73,Laurel Hill,1180.72,71.98
2017,74,Forest Hollow,1136.77,74.37
2017,75,Sully Station II,1130.4,74.62
2017,76,Rolling Forest,1094.48,76.48
2017,77,Rolling Hills,1085.94,76.66
2017,78,Brookfield,1064.8,77.9
2017,79,Holmes Run Acres,1039.99,79.07
2017,80,Hayfield Farm,1026.24,79.63
2017,81,Woodley,974.78,80.95
2017,82,Burke Station,908.53,82.21
2017,83,Ilda Community,885.42,82.8
2017,84,Rolling Valley,822.8,84.54
2017,85,Fox Hunt,821.33,84.59
2017,86,Hollin Hills,780.24,85.86
2017,87,Lake Braddock,721.67,87.21
2017,88,Long Branch,695.82,87.92
2017,89,Herndon,663.65,89.26
2017,90,Daventry,655.24,89.61
2017,91,Lincolnia Park,588.44,91.17
2017,92,Parklawn,566.71,91.83
2017,93,Commonwealth,515.02,93.08
2017,94,Parliament,476.75,94.23
2017,95,Village West,462.69,94.68
2017,96,Pleasant Valley,330.01,96.25
2017,97,Broyhill Crest,302.29,97.16
2017,98,Newington Forest,293.69,97.59
2017,99,North Springfield,208.43,99.0
2017,100,Springfield,100.95,100.0
2017,101,Edsall Park,18.91,101.18
2017,102,Pinewood Lake,1.88,101.82
2018,1,Chesterbrook,3181.79,1.0
2018,2,Overlee,3089.12,2.03
2018,3,Tuckahoe,3049.04,2.97
2018,4,McLean,2858.47,4.0
2018,5,Fairfax,2784.89,5.1
2018,6,Highlands Swim,2750.88,5.9
2018,7,Little Rocky Run,2668.84,7.09
2018,8,Dowden Terrace,2623.1,9.04
2018,9,Hamlet,2611.43,9.59
2018,10,Hunt Valley,2610.49,9.69
2018,11,Wakefield Chapel,2596.0,10.55
2018,12,High Point Pool,2578.35,11.76
2018,13,Vienna Woods,2565.69,12.5
2018,14,Hunter Mill,2527.48,14.22
2018,15,Crosspointe,2507.28,15.07
2018,16,Mount Vernon Park,2485.02,16.15
2018,17,Langley,2483.97,16.34
2018,18,Vienna Aquatic,2387.37,19.16
2018,19,Cardinal Hill,2376.84,19.56
2018,20,Fair Oaks,2373.46,19.76
2018,21,Oakton,2363.65,20.52
2018,22,Kent Gardens,2350.89,21.3
2018,23,Donaldson Run,2314.69,22.7
2018,24,Orange Hunt,2203.53,24.52
2018,25,Hiddenbrook,2202.23,24.52
2018,26,Sideburn Run,2144.52,26.66
2018,27,Mantua,2131.76,27.29
2018,28,Virginia Run,2123.81,27.66
2018,29,Villa Aquatic,2105.95,28.49
2018,30,Lee Graham,2067.25,30.24
2018,31,Country Club Hills,2040.09,31.39
2018,32,Ravensworth Farm,2029.41,31.77
2018,33,Walden Glen,1995.86,33.25
2018,34,Lakevale Estates,1994.22,33.31
2018,35,Camelot,1933.38,35.64
2018,36,Mosby Woods,1913.8,36.63
2018,37,Arlington Forest,1905.81,37.19
2018,38,Sleepy Hollow B & R,1889.77,38.4
2018,39,Lakeview,1886.44,38.7
2018,40,Virginia Hills,1870.74,39.72
2018,41,Fox Mill Woods,1863.59,40.27
2018,42,Brandywine,1831.67,41.91
2018,43,Waynewood,1809.77,42.99
2018,44,Greenbriar,1774.86,44.81
2018,45,Dunn Loring,1763.73,45.57
2018,46,Sully Station,1760.73,45.69
2018,47,Old Keene Mill,1751.75,46.24
2018,48,Dominion Hills,1721.37,48.61
2018,49,Pinecrest,1721.02,48.57
2018,50,Fairfax Station,1705.14,49.7
2018,51,Sleepy Hollow Rec,1693.6,50.26
2018,52,Riverside Gardens,1604.75,52.0
2018,53,Somerset-Olde Creek,1523.82,53.28
2018,54,Cottontail,1504.19,53.92
2018,55,Laurel Hill,1456.43,56.35
2018,56,Great Falls,1453.61,56.57
2018,57,Little Hunting Park,1450.18,56.64
2018,58,Poplar Tree,1444.2,57.13
2018,59,Poplar Heights,1407.22,59.56
2018,60,Fairfax Club Estates,1402.16,59.95
2018,61,Rutherford,1396.95,60.26
2018,62,Hollin Meadows,1367.39,61.77
2018,63,Fox Mill Estates,1337.82,63.26
2018,64,Highland Park,1317.58,64.51
2018,65,South Run,1308.62,65.03
2018,66,Annandale,1294.88,66.01
2018,67,Springboard,1282.99,66.8
2018,68,Truro,1269.13,67.7
2018,69,Hayfield Farm,1236.47,70.0
2018,70,Kings Ridge,1235.15,70.13
2018,71,Mansion House,1230.57,70.5
2018,72,Rolling Hills,1211.29,71.57
2018,73,Forest Hollow,1205.33,72.06
2018,74,Brookfield,1118.67,74.62
2018,75,Stratford,1109.74,75.13
2018,76,Holmes Run Acres,1080.29,76.54
2018,77,Canterbury Woods,1070.81,77.26
2018,78,Rolling Valley,1061.56,77.85
2018,79,Fox Hunt,1055.34,78.29
2018,80,Shouse Village,1036.74,79.31
2018,81,Rolling Forest,957.73,81.23
2018,82,Woodley,936.1,81.8
2018,83,Burke Station,891.58,83.02
2018,84,Sully Station II,851.39,83.97
2018,85,Parklawn,794.08,85.17
2018,86,Daventry,766.56,85.87
2018,87,Herndon,720.63,87.57
2018,88,Hollin Hills,712.17,87.96
2018,89,Ilda Community,703.54,88.41
2018,90,Lake Braddock,635.35,90.0
2018,91,Commonwealth,491.76,92.28
2018,92,Long Branch,488.11,92.55
2018,93,Parliament,487.93,92.63
2018,94,Village West,473.07,93.86
2018,95,Broyhill Crest,462.88,94.57
2018,96,Pleasant Valley,455.01,95.11
2018,97,Newington Forest,375.44,97.0
2018,98,Lincolnia Park,232.56,98.03
2018,99,North Springfield,195.0,98.97
2018,100,Springfield,120.13,100.0
2018,101,Pinewood Lake,57.47,101.0
2018,102,Edsall Park,-57.01,102.0
2019,1,Chesterbrook,3072.06,1.0
2019,2,Overlee,2948.05,2.08
2019,3,Tuckahoe,2914.13,2.92
2019,4,Highlands Swim,2842.22,4.0
2019,5,Donaldson Run,2710.83,5.21
2019,6,Dowden Terrace,2691.05,5.79
2019,7,Crosspointe,2572.15,7.19
2019,8,McLean,2535.39,8.34
2019,9,Mount Vernon Park,2525.39,8.81
2019,10,Fair Oaks,2481.58,10.84
2019,11,High Point Pool,2480.01,11.18
2019,12,Langley,2468.91,11.56
2019,13,Vienna Aquatic,2449.79,12.78
2019,14,Virginia Run,2432.39,13.85
2019,15,Wakefield Chapel,2409.34,15.26
2019,16,Oakton,2393.85,16.15
2019,17,Hamlet,2389.54,16.36
2019,18,Kent Gardens,2345.69,18.17
2019,19,Vienna Woods,2328.87,18.75
2019,20,Cardinal Hill,2300.05,19.81
2019,21,Hunt Valley,2255.16,21.1
2019,22,Sideburn Run,2216.24,22.57
2019,23,Mantua,2203.71,23.16
2019,24,Hiddenbrook,2196.0,23.57
2019,25,Little Rocky Run,2172.92,24.77
2019,26,Hunter Mill,2138.61,26.33
2019,27,Orange Hunt,2116.09,27.41
2019,28,Brandywine,2107.93,27.85
2019,29,Sleepy Hollow Rec,2100.18,28.19
2019,30,Old Keene Mill,2002.06,30.25
2019,31,Lee Graham,1974.36,31.24
2019,32,Virginia Hills,1964.39,31.61
2019,33,Lakeview,1911.95,33.43
2019,34,Fairfax Club Estates,1899.98,33.84
2019,35,Country Club Hills,1874.4,34.98
2019,36,Waynewood,1847.03,36.17
2019,37,Sleepy Hollow B & R,1836.85,36.74
2019,38,Fox Mill Woods,1799.4,38.76
2019,39,Pinecrest,1794.26,38.97
2019,40,Walden Glen,1785.27,39.57
2019,41,Hollin Meadows,1763.87,40.62
2019,42,Ravensworth Farm,1728.16,42.14
2019,43,Little Hunting Park,1700.77,43.33
2019,44,Dominion Hills,1691.28,43.79
2019,45,Fairfax Station,1671.73,44.61
2019,46,South Run,1602.86,47.85
2019,47,Greenbriar,1598.37,48.2
2019,48,Sully Station,1598.01,48.16
2019,49,Villa Aquatic,1596.87,48.27
2019,50,Highland Park,1588.71,48.93
2019,51,Springboard,1576.58,50.0
2019,52,Fairfax,1549.04,51.68
2019,53,Lakevale Estates,1508.7,53.67
2019,54,Dunn Loring,1478.9,55.88
2019,55,Brookfield,1474.51,56.34
2019,56,Great Falls,1467.15,56.92
2019,57,Poplar Heights,1459.39,57.76
2019,58,Riverside Gardens,1456.83,58.12
2019,59,Arlington Forest,1456.13,58.04
2019,60,Rutherford,1450.82,58.65
2019,61,Stratford,1447.96,59.07
2019,62,Truro,1414.43,62.34
2019,63,Mosby Woods,1405.16,63.02
2019,64,Fox Mill Estates,1397.27,63.62
2019,65,Canterbury Woods,1372.69,65.36
2019,66,Shouse Village,1369.94,65.49
2019,67,Camelot,1367.84,65.67
2019,68,Rolling Forest,1308.67,68.57
2019,69,Somerset-Olde Creek,1285.39,69.87
2019,70,Mansion House,1280.32,70.15
2019,71,Forest Hollow,1266.25,71.3
2019,72,Hayfield Farm,1257.91,71.9
2019,73,Rolling Hills,1244.92,73.11
2019,74,Holmes Run Acres,1236.28,73.68
